Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Critic_Score,User_Score,Publisher_Profile,Cluster
3071,Final Fantasy IV,"DS, PS",2008,Role-Playing,Square Enix,0.51,0.04,0.9099999999999999,0.07,8.5,9.0,Medium Profile,5
3072,Final Fantasy XII: The Zodiac Age,PS4,2017,Role-Playing,Square Enix,0.37,0.41,0.16,0.15,8.6,0.0,Medium Profile,5
3073,Ganbare Goemon! Karakuri Douchuu,NES,1986,Platform,Konami,0.0,0.0,1.2,0.0,0.0,0.0,High Profile,12
3077,Kingdom Hearts HD II.5 ReMIX,PS3,2014,Role-Playing,Square Enix,0.52,0.36,0.19,0.18,0.0,0.0,Medium Profile,5
3079,NFL 2K,DC,1999,Sports,Sega,1.12,0.05,0.0,0.02,9.7,0.0,High Profile,4
3080,Ninja Gaiden,XB,2004,Action,Tecmo,0.92,0.2,0.07,0.04,9.4,0.0,Medium Profile,10
3081,Parasite Eve II,PS,2000,Role-Playing,Square EA,0.32,0.22,0.0,0.04,7.4,0.0,Low Profile,25
3082,Resident Evil Director's Cut: Dual Shock Edition,PS,1998,Action,Capcom,0.0,0.0,0.16,0.01,0.0,0.0,Medium Profile,10
3084,Shenmue,DC,2000,Adventure,Sega,0.52,0.24,0.38,0.04,8.9,0.0,High Profile,26
3086,SolarStriker,GB,1990,Shooter,Nintendo,0.4,0.39,0.36,0.04,0.0,0.0,High Profile,23
3087,Sonic and the Black Knight,Wii,2009,Platform,Sega,0.66,0.34,0.01,0.11,4.8,8.5,High Profile,12
3088,Sonic Rush Adventure,DS,2007,Platform,Sega,0.53,0.49,0.01,0.12,0.0,0.0,High Profile,12
3091,TwinBee,NES,1986,Shooter,Konami,0.0,0.0,1.2,0.0,0.0,0.0,High Profile,23
3093,WWE 2K14,"PS3, X360",2013,Fighting,2K Sports,1.13,0.89,0.0,0.30000000000000004,7.6,0.0,Medium Profile,16
3096,NHL 2002,"PS2, XB, GBA",2001,Sports,EA Sports,0.88,0.55,0.0,0.16,0.0,0.0,High Profile,4
3097,Shadow of the Colossus,"PS4, PS2, PS3",2018,Action-Adventure,Sony Interactive Entertainment,1.22,0.55,0.29,0.32,9.2,9.4,Low Profile,31
3098,God of War: Ghost of Sparta,PSP,2010,Action,Sony Computer Entertainment,0.41,0.36,0.03,0.21,8.3,0.0,High Profile,1
3100,Nuclear Strike,PS,1997,Simulation,Electronic Arts,0.66,0.45,0.0,0.08,0.0,0.0,High Profile,20
3103,SpongeBob SquarePants: Revenge of the Flying Dutchman,"GBA, PS2, GC",2002,Action,THQ,1.6,0.6799999999999999,0.0,0.19000000000000003,0.0,0.0,High Profile,1
3105,Scarface: The World is Yours,"PS2, XB, Wii, PC",2006,Adventure,Sierra Entertainment,1.49,0.18,0.0,0.19,0.0,0.0,Medium Profile,11
3106,Metal Gear Solid: Portable Ops,PSP,2006,Action,Konami,0.38,0.35,0.38,0.09,8.7,0.0,High Profile,1
3107,Disney Sing It,"Wii, PS2, X360, PS3",2008,Misc,Disney Interactive Studios,1.7,0.57,0.0,0.24,0.0,0.0,Medium Profile,19
