,Rank,Name,Critic_Score,User_Score
755,1445,Dragon Quest V: Tenkuu no Hanayome,,
756,1449,Madden NFL 07,8.5,
757,1450,Magicka,7.6,
758,1451,Resident Evil 4,8.0,
759,1454,Hot Shots Golf,,
760,1455,Trine 2,,
761,1456,Skylanders: Spyro's Adventure,8.0,
762,1457,A Bug's Life,3.6,
763,1458,WWF SmackDown! Just Bring It,,
764,1459,Mortal Kombat Trilogy,,
765,1460,NBA Street,,
766,1462,The Sims,,
767,1463,Star Wars: The Force Unleashed,7.1,
768,1464,Saints Row: The Third,8.3,
769,1466,Battlefield 3,8.9,
770,1468,Resident Evil,8.6,
771,1469,Need for Speed: Most Wanted (2012),8.5,
772,1470,Tetris DS,8.5,
773,1471,L.A. Noire,9.1,
774,1472,Metroid,,
775,1473,Far Cry: Primal,7.2,
776,1475,ARMS,7.9,
777,1476,Overwatch,8.7,
778,1477,Need for Speed (2015),7.0,
779,1478,Madden NFL 13,8.3,
